Tweet,Class
هيئتك يا ويئو اكل سمك ومتقل الليلة لهيك عم بتكوبس باللواء عثمان لهيك تغطا منيح بس تنام احسن ما تاخد برد ,Non-Offensive
فضح الفاسدين مسؤولية كل مواطن شريف ,Non-Offensive
متظاهر افريقي في باريس يقول يعيش بشار الأسد شكور ربك مش عبتتظاهر بسوريا كان سفقك برميل جابك بافريقيا ,Non-Offensive
الامير طلال حبيب قلبنا وبيمون عأكتر من هيك ,Non-Offensive
نص اللبنانيي من رأيي انتِ يا رمز الغبا ههههههه,Offensive
ما الغريب الا الشيطان معقول بتستخفوا بعقول مناصرينكن بانه شيخ عقل حطوا عقل الرحمن براسكن وما الكن ال… ,Non-Offensive
هلق شو على مين انضغط منشان تشكيل الحكومة,Non-Offensive
علاء الخواجة هوي الي شترى البلد و ضمير بعض سياسي البلد ,Non-Offensive
هيدا حساب فخامة الرئيس ميشال عون أم حساب فخامة جبران باسيل  ,Non-Offensive
يا عيب لشوم عليك يا كركوز ,Offensive
لو دولة تحترم نفسها كنت انت ما عم تحكي ولا عم تزت سمك ولا عم تبعت رسايل لو ولة بتحترم نفسها كنت محبوس… ,Non-Offensive
سمج سميك زنخ كمخة,Offensive
هيد الشعب مش بحاجة لاموالكم هيد شعب بحاجة لضمائركم الغائبة ,Non-Offensive
عزيزي وئام هل يجوز نهاد ان يتركك حرا ام يجب سجنك يا بوق الفتنة ,Offensive
نتمنى من فخامة الرئيس متابعه هذه القضية ف عماد عثمان مجرم ,Offensive
يسعد صباحك معالي الوزير ,Non-Offensive
قليل بحقه الحذاء ,Offensive
كول هوا يا خنزير الخنازير الصهاينة نهايتهم للدعس تفه,Offensive
انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة ,Offensive
جبران باسيل رجل شرّير,Offensive
عاهر بكلامو بس معلمك شو        ,Offensive
أنا بس شوف نديم و أمثالو كيف بيحكو عن جبران باسيل بتأكّد أكتر انو جبران باسيل عم يشتغل صحّ,Non-Offensive
كان الله بعونك وبعون الي دافع عنك ,Non-Offensive
بظن من هلأ و رايح و من بعد ما سمعتو السيد شو حكي عن صدق جبران باسيل، كل واحد من يلي بيقولو عن حالن جمهور المقاومة،…,Non-Offensive
نحن نثق بال قضاء اللبناني ,Non-Offensive
بدا ثورة على حطوا روبورتاج صغير عن جبران باسيل وانهوه بجملة ما تكون متل جبران,Non-Offensive
عقبال يغرقوا التنين بالمجارير,Offensive
درس فى التاريخ ,Non-Offensive
انشالله يضلل حصرمة بعينك وعين غيرك جبران باسيل قرفت سما الله تبعنا انشالله بضلل مقهور وبضلل جبران با…,Offensive
بلبنان منخبر ومنقول الحقائق كما هي لا أعتقد أن عمليات الإغتيال قامت بها الدولة أو ج…,Non-Offensive
كول هوا ابو وجهك,Offensive
بربحك جميل من كيسك انو ناوي يعمل شغلو,Non-Offensive
عم أحكي عن الجعفري يا بهيمة نظام الجعفري قتل نص مليون وهجّر نص الشعب حرفياً لأنه طلعوا مظاهرات ضده وبعدين بتقلي إني أنا يلي ما بفهم بآداب الحوار؟ بهيمة بتجيب المسبة لحالها شو بدنا نقول 🤷🏻‍♂️😂,Offensive
آلوزير جبران باسيل وزير لبناني فقط لا غير,Non-Offensive
بالرغم من صفاقة جبران باسيل وكلامه الثقيل الذي لا يمثل سياسة لبنان الرسمية ولا يمثل اكثرية الشعب اللبناني الا ان العتب…,Offensive
وهاب بعد زيارته الغريب لقاء خلدة مهمته داخلية درزية وليس موجهاً ضد أحد لبنان ,Non-Offensive
كثروا المنافقين اصحاب المصالح   هاذا اكبر كلب لأيران في لبنان ، تابع هالفديوا وتعرف هالمرتزق … ,Offensive
اكل الهوى للواطي دواء الله يشفيك ,Offensive
لا كل الثواار كلاب متل النظام هيك جملة سهل قولها وما بتوجع الراس وبتريحك من كتير وجع راس وتفكير الكل كلاب ليش اهتم او ادعم طرف؟,Offensive
اباقاش تسكت وله ، اسكت يا قرد العقاب لوهاب وهاب قاتل ابو دياب ,Offensive
للاسف لدينا في الخليج بعض من الكتاب والدكاتره والمحللين كالبغال والجحاش ينهق ويهرف بما لايعرف ,Offensive
سوف تبقى سوريه وفية ومنتصره رغم كل الاوجاع وتبقى صامده في وجه الاعداء سوريا التي حاربت كل الدول العرب… ,Non-Offensive
على الرحب يا جماعة السدس   ,Non-Offensive
مهما تستأجر أشخاص وملاحم ولحمه فاسده لا شرعيه لها ولا وجود ولا اعتبار رسمي الف تحيه لشيخ العقل للطائفه… ,Non-Offensive
وقت تشوفوا و تسمعوا جبران باسيل متل لما الشيطان يسمع كلام الإنجيل,Offensive
كل الاجلال والاحترام الأوفياء بيتذكرو كرم اهل دمشق دمشق احتضنت اللبنانيين في محنتهم والعراقيين والفلسطينيي… ,Non-Offensive
أذا جبران باسيل يقودكم والجاهل شيخ الجاهلية يصفق للقرد       اكيد بيكون ي…,Offensive
أحقر جريدة بل الوجود,Offensive
رزق الهبل عالمجانين آه يا هبيلة ,Offensive
لما تعلق كل يوم بعجقات سير خانقة لازم تفرح وتتذكر إنك عايش ببلد منتج وقوي اقتصادياً ومالياً وقوي اجتماعياً ومعيشياً وكل شي فيه قوي، أجلّك ,Non-Offensive
ما تفضلت به يا أخي هو منتشر منذ عقود ومنذ قررنا كلبنانيين أن… ,Non-Offensive
والله لو في دوله ما تركتك انت ورئيسك ,Non-Offensive
يجب محاربة الفساد ,Non-Offensive
خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة,Offensive
متل نبيه بري ,Non-Offensive
اننا موحدون توحيديين إلى يوم الدين ✌ ✌ ✌  ,Non-Offensive
يرحمها ويصبر اهلها,Non-Offensive
ولك استحي بقى ما في عا لسانك الا سوريا ,Offensive
يا محلا عذاب الغرب من عذاب ايران وما تفعله من عذاب وتنكيل وتجويع وانحطاط اخلاقي لاهل العراق الابي ,Non-Offensive
وشو بتحب نقلك يا تافه,Offensive
وطن التعايش و الحرية ، وطن الصدق و المحبة هذا كل ما نحن بحاجة إليه لنحصل على هذا الوطن علينا ان نعد شعب واعي… ,Non-Offensive
ضيعان الفهم يا دكتور ؟؟,Offensive
طيب خلينا بالنص ايران كاميرون,Non-Offensive
وليد جنبلاط يتحدث عن الشيطان الاكبر والشيطان الاصغرالظاهر نسي يذكر انو هو ابو الشياطين كلها ,Offensive
بيكي أندرسون تسأل جبران باسيل المعظم في علم الاقتصاد حول مشاكل لبنان وهو يجيبها بردية زجل عن الشعب اللبناني العظيم…,Non-Offensive
مين جاب سيرة عقدة أغلبية الشعب اللبناني جبران باسيل؟    ,Non-Offensive
نصرالله كلام وزير الخارجية جبران باسيل عن ضرورة حل مسألة اخفاء الإمام الصدر كان مهماً,Non-Offensive
قطر اختلفت مع كل المحيط العربي لأنو تحالفت مع حليفك الخامنئي ، حليف حليفك يعني حليفك كيف سياستكن يا شياطين ما بعرف ,Offensive
يا بلا مخ يا حيوان في الاف بقطر عم يسترزقو مش كرمال يجي راحد متاك صرماية يعمل خلاف روح نقبر ضب زعرانك ع… ,Offensive
كلمة جبران باسيل أخجلته وأخجلت كل الأمة العربية,Non-Offensive
فعلا زمن الرويبضة ومناسب جدا ,Non-Offensive
يا عمي هيدا الزلمي جاهل,Offensive
العاهر الكبير عون…,Offensive
صباح جميل كجمال قلوبكم ,Non-Offensive
وانت وبيك شو حقك فرنك فرنسي يعني ولادولار ,Offensive
دبي رزقها الله ب محمد بن راشد عمل على تنميتها وإدارتها كأحسن ما تكون التنمية والإدارة زرتها قبل س… ,Non-Offensive
هذه عمامات سوداء طلبت بالابيض ,Non-Offensive
صحافة أردوغان بلشت تخوّف أوروبا من موجة لاجئين جديدة شكله الحدود التركية رح تتسكر بوش يلي بده يحاول يطلع من إدلب,Non-Offensive
مرحبا يا رجال قلعة الممانعة، بيسلم عليكن ابن رامي مخلوف من دبي وبيقلكن اصمدو وموتو كمان شوي جاي الصيفية وسفرت الكوت دازور مكل…,Non-Offensive
ما هوي لو بياكل سرماية بعيد عنا بقول يعدمني يا فكروا اذا بصرخوا صوتهن بيوصل   ,Offensive
يحمار انت والحبتور كنتو مجتمعين في باريس قبل سنه في فندق الريتس ممكن تحكيلي كم دفعلك؟؟ ,Offensive
فهمتوا يا حقودين يا جماعة الحركة,Offensive
انت صنفتو بخانة الخيانة وهيدا رد على ردك ومش كل الادوية فعالة وان شاء الله الكل بيفتخر بشهادة الحريري,Offensive
هذا ردي له نعم انا سعودي    وكلي فخر راسي فوق أنتم ما قهركم وداعس على روس… ,Offensive
ال ً مبلشين من الليلة بالحملة ع جبران باسيل ب منا وجر,Non-Offensive
هي و صرمايتي سوى ,Offensive
ربما يكون عماد عثمان بمثابة صندوق اسود للمشنوق ,Non-Offensive
سليم عون لا يستطيعون التصويب على ​الرئيس ميشال عون​ فيصوبون على رئيس التيار ​ جبران باسيل​ او علينا، لسنا مكسر عصا لأح…,Non-Offensive
دائما انت على حق ❤ ,Non-Offensive
خليك بي الجاهليه لانو ما الك الى الجهل تبعك قطر ام العرب وام لبنان وستبقى قطر والخليج اسيادك يا فار من العداله ,Offensive
ياريت شعبك بيسمع واذا سمع يوقف واذا وقف يحدث الفرق شعب لبنان تعبانة ,Non-Offensive
ماعندنا بارات للاسف البارات ببلدك وينظمها انتي وامك وبنات بلدك ,Offensive
الوزير جبران باسيل كان اول من طرح موضوع عودتهم الى بلدهم ليس انطلاقاً من موقف عنصري، معتبرا ان الجميع لاحقاً التقوا على ا…,Non-Offensive
دئما يلحق بك الدمااار ,Offensive
كل الميليشيات تكتلت تتواجه جبران باسيل مش غريب ما حدا قدر يلاقي دليل يحارب جبران فيه؟؟ مياومو الإعلام,Non-Offensive
احييييي يا قضاء ,Non-Offensive
هل انت سياسي بالبلد او لأ ؟؟ ,Non-Offensive
وطننا يحتاج الى طبقة حاكمة غير فاسدة ,Non-Offensive
لا صديقي مو عيب واحد قاتل وواحد اداة بيد قاتل ,Offensive
احضر لي تصريح واحد تقول فيه اسرائيل سأحرق ايران و الايرانيين و لبنان و اللبنانيين او سوريا و السوريين …,Non-Offensive
يلعن روح حافظ ابن ستين الف كلب، دمرت البلد وقتلت مليون وهجرت ملايين وتقول قد ، قد لا يكفي اعدامك لمرة واحدة,Offensive
الخول جبران باسيل روح طلع حزب اللات والمليشيات الشيعية من بلدنا ليرجعوا النازحين يلي احتليتوا أراضيهم وهجرتون يا مجرمين,Offensive
لو سمحت واحد صالونه لحم وعيش شلاني وواحد سف اب ,Non-Offensive
و هو بذاته يلي عمل فتنة بالبلد و هو كمان يلي بيستخدموا نظام الأسد مثل الدومينو و هو ك… ,Non-Offensive
الرجل ما قال امن اسرائيل حق ، نصيحتي للوزير جبران باسيل يحكي اللغة العربية بأية مق…,Non-Offensive
كول هوا مش شغلك,Offensive
عايشين على اشحاته هذا طبع اشيعه يعشون مرتزقه ,Offensive
اشبو ذا يسجل كول حاجه تراها مباراه مو محاضره هوا,Offensive
يا ياسين الزلمه ما عندوه سيوله اخذت منوه بدوه حدا يسكت تمه بشوية مصار… ,Non-Offensive
جبران عفلق، حبش الخ على الطريق,Non-Offensive
جبران باسيل جمع يلي ما بينجمعوا    ,Non-Offensive
نتائج كتاب العدل تجربة رائدة لم تأخذ أي حساب طائفي أو مذهبي وهي تجربة يجب أن تعمم مبروك لوزير العدل وللجنة القضاة هذا الإنجاز ,Non-Offensive
فعلاً لا يناسب الا زماننا، في زمان على فيه صوت الرويبضة، لكن عندما تحين الساعة سيعود كل الى حجمه ولو كا… ,Non-Offensive
فهمان خدمه الناس غلط   ,Non-Offensive
شو بدك من علاء الخوجة؟ ما تعبت وانت تصرخ عليه انسى الموضوع ما رح يعطيك مصاري ,Non-Offensive
سوف يتحاسبو جميعالان الحق سلطان ,Non-Offensive
سبحان الله تقولي حقيقة,Non-Offensive
ستموت بحسرة الخواجه ولن يعطيك شرف التحدث معه وابتزازه ايها الازعر السفيه ضبضب ,Offensive
جبران باسيل لل ربما علينا أن نعلم واشنطن ولندن كيف يديرون بلداً من دون ميزانية,Non-Offensive
زحيف ,Offensive
ليش ما قاهركن الا الوزير جبران باسيل لو بتفكوا شوي عن سماه منا وجر,Non-Offensive
شو راي العماد عون بتعليقك ,Non-Offensive
لك كانت صفر صفر رحت طالعت الكلاب يشخوا كم دقيقة رجعت,Non-Offensive
كم سهرنا من ليال للصباح لا ننم,Non-Offensive
لو بتخفف بس كنت اول المعجبين بقطر بس دعمت لجنوب وعمرتو بعد حرب تموز أو اخدت من لغنيمه وس… ,Non-Offensive
كلمة جبران باسيل في القمة الاقتصادية تحتاج الى سدادات اذن,Non-Offensive
جبران باسيل لا يقل عمالة عن حسن نصرالله,Offensive
انا اتمنى سليمان فرنجية لكن شعوري بان جبران باسيل سيكون الرئيس القادم,Non-Offensive
في مواقف وزير خارجية لبنان جبران باسيل المؤيدة لبشار الأسد ما هو أبعد من السياسة التفسير في الطائفية الفاقعة التي يصدر ع…,Non-Offensive
شيلللللل للفهم    بس ما قلتلنا انت عمين محسوب عل عاهرات او السياسيين ,Offensive
خليك مخبأ ب الجاهلية ,Non-Offensive
جبران باسيل مهضوم كتير قال بدو يعمر سوريا و هوي ببلدو لبنان مش قادر يعمر مجرور,Offensive
عن أي دولة عم تحكي؟؟ عن عهد التبعية والفشل والجرائم والفساد والصفقات يللي عحساب كل المواطنين ، العهد يل… ,Non-Offensive
ههههههههههه كول هوا,Offensive
انتو يا جماعة اوسكار ما خصكم بعلاقة جبران باسيل فينا,Non-Offensive
جبران باسيل يؤكد جرأته مرة اخرى بحديثه في المؤتمر الصحفي مع ابو الغيط عن تأثير الدول الغربية على قرار القُمة السابقة ب…,Non-Offensive
وفد     يا زلمة شو هال مسخرة انت؟ ,Offensive
صباح الانوار انا بس عّم حاول افهم ,Non-Offensive
البيوت الحمرا بل المرجة ، والجامع اشرف وأطهر منك,Non-Offensive
هيدا الصحيح سلمت يداكي ,Non-Offensive
انا بقول الحق على جبران باسيل   ,Non-Offensive
تلات رؤسا متقاسمين الصلاحيّات، أكبرهم سنّا ميشال عون ما بيتدخّل بشي بس بذات الوقت توقيعو أساسي لنفا…,Non-Offensive
انو بشرفك الكاميرات ما كانو شغالين ,Non-Offensive
لما تقلّك أولاً مش طايقتك شو إلو لزوم تانياً؟ 😎 ,Non-Offensive
شيء خطير هذه المقالة الأولى ,Non-Offensive
يحتاج شعب جديد، الى ثوار ,Non-Offensive
اخرس يا أيها النجس الخنزير الديوث انت وبشار الكيماوي وحزب الشيطان والمجوس إلى مزبلة التاريخ ,Offensive
انا وعم بحضر عل اليوم اختصاصية تغذية لاحظت شغلة ليه كل اختصاصيات التغذية بيحكوا بنفس الطريقة؟ 😀,Non-Offensive
شو قصتك انت واللواء عثمان ،، لهالدرجة قاهرك ما في تغريدات الا عنه وعن الشيخ ، ,Non-Offensive
لو في دولة محترمة واحد متلك اطلق النار على قوى الأمن كان مكانك بالسجن أقل شي ,Non-Offensive
وهاب يتحدّث عن انجاز يسجّل للرئيس عون ,Non-Offensive
يا جماعه اللي بدو يدعي او يكبر او يصلي او يختم القرآن بإمكانو يعمل كل هالحكي بعيد عن تويتر بنوبكون ثواب اكتر لأنو الرياء با…,Non-Offensive
ويل لامة تولي عليها مجموعة من الأرذال ,Offensive
للاسف يا عزيزي نزار زكا لايملك المال وإلا كان تحرك جبران باسيل كما فعل بخصوص كارلوس غصن,Non-Offensive
أول شكر كان للوزير جبران باسيل شو رأي الشباب ؟ بتوقيت نصرالله,Non-Offensive
مستحيل يكون في اوسخ وانجس منك بالكون يا ديوث ,Offensive
كذبك يا أيوب كذاب ونص جبران باسيل انظف من ضميرك,Offensive
شكرا لكل الأبواق المأجورة وغير المأجورة في افتراءاتها اليومية على جبران باسيل أمنتم له شعبية ما كان ليحلم بها الى…,Offensive
صباح الكسمك يا ميونخ يا مدينة خرى بنت وسخة,Offensive
لبنان علّم العالم الأبجدية وكيف بيمشي البلد بلا دولة,Non-Offensive
ما عطيوك شي غرفة فيه بلاش ,Non-Offensive
ليش مننفهم انو نحنا حاقدين عالعالم لأ يا جماعة القصة وما فيا مألهين جبران باسيل وشايفين حالنا فيه وبفتكر بحقلنا لاقوا اذكى…,Non-Offensive
يا استاذ وديع انتم جماعة مثقفين معهم لا ينفع اي شىء حرام ان يكون لهذا البلد رئيس مثل العماد عون ومثل جبر…,Non-Offensive
انت حثالة,Offensive
حماك الله   ,Non-Offensive
اي يعني شو بدي قلك، علمهن ت يعيشوا بالبحبوحة زي…,Non-Offensive
جبران باسيل كم جميلٌ مثلاً ان نخرجَ على شعوبنا، بسكّة حديد تربط بلداننا، بخط غازٍ يأخذ غاز لبنان الى العراق ونفط العراق الى ل…,Non-Offensive
الإرهاب السعودي إلى مزابل التاريخ وكل مين بشد على مشدها السؤال لماذا هذا الإستهتار ويجب على سوريا… ,Offensive
يعني لو الست ديما كتبتاعتذر عن الخطأ كانت وفرت علي ما لا يقل عن ميغابايت من عجقة التايملاين الناجمة عن احصائياتها الخزعبلية,Non-Offensive
الاسود للحريمات؛الفوشي يليق بي,Non-Offensive
لو في دولي ما كان بعدو عماد عثمان خارج السجن ,Non-Offensive
انه انت بتحكي لتحكي؟؟؟مين جاب سيرة الهبه؟؟؟؟كل الشعب اللبناني الواعي والمثفف عوفان انه واديعه بس انت ش… ,Non-Offensive
مش شغلتي حبيبي فاضح حالو بلا جميلتنا    بس عجبني تفكيرك   ,Non-Offensive
وطن التعايش و الحرية ، وطن الصدق و المحبة هذا كل ما نحن بحاجة إليه لنحصل على هذا الوطن علينا ان نعد… ,Non-Offensive
وهاب مع الحكومة الجديدة يجب أن يكون ملف إقالة اللواء عثمان على الطاولة لبنان ,Non-Offensive
ايييه هيك حلم جبران باسيل بدو يعمل هيك,Non-Offensive
هو فقط قال الحقيقة ما قدمت قطر للبنان ليس منحة ا دعم او هدية ه قرض بنسبة ,Non-Offensive
جبران باسيل لم يقدم هو يأخذ فقط بتحط نفسك بمواقف بايخة  ,Non-Offensive
قبل ما تترحم وسام الحسن كان مشارك بقتل الحريري والحريري كان عارف ومن اغتاله للحسن حتى يأخذ ثئاره لوالده… ,Non-Offensive
ما بأثر نكون خواريف افضل ما نكون خنازير منبزق بالبير لي شربنا منو متل معلمك لي اكل لكب… ,Offensive
لاتعرف اسئل حزب الله وخروفه باسيل ,Offensive
قل كلمتك واصمد وهاب ما بيهاب ,Non-Offensive
لا تفرد ولا إلغاء نعم لتحرير الطائفة من براثم الاستبداد ,Non-Offensive
وأكبر دليل للي بصدقك يا ابن شعبان ,Non-Offensive
مافي غير جبران باسيل الي عم يلعب ب النار تحت مرأى و مسمع رئيس الحكومة,Non-Offensive
اكيد خلف ومات بس شهيد يا فهمان,Offensive
كان بدري عّم يقبض حق تغريدته مبارح ضد قطر   ,Offensive
روح عَ دمشق يامان شو بعدك ناطر هههههههههههههههههههههههههههههههههههههههههههههههههههه       ,Non-Offensive
قويية   ,Non-Offensive
انا اكتشفت ان اللواء عثمان داعس رقبتك وراسك بصباطو الرسمي يا حمااااااار ,Offensive
لو ما في سلاح حزب الله كنّا شفناك بالسجن كنّا شفناك عم تتحاكم لانك قتلت محمد بو دياب كنا شفناك متل… ,Non-Offensive
شي بيهوي,Offensive
هههه موتي بغيظِك لكن 😎,Offensive
أمّا علاقتنا مع جبران باسيل فهناك صداقة بيننا وإ…,Non-Offensive
سينهار اكثر وأكثر لطالما نموذج وئام وهام موجود في مجتمعنا ,Offensive
اضف الى ذالك انه داعم لايران وحزب اللات ,Offensive
ارفعوا العشره مشكلتكم ما الو خص علاء الخواجة يا صاحب الصرامي ,Offensive
انت بدك طبيب نفسي ,Offensive
ليك يا وئام وهاب سماع شو بدي قلك كل يوم عم تحكي على دولة لكانت للغرب أو للشرق وهني مع بعضهون بألف خير ب… ,Non-Offensive
والله الحذاء خساره فيهم ,Offensive
كول خرا عقبالك لما تجيك صرمايي بخلقتك ,Offensive
انت متهم اول لانك اكبر سرمايه عربيه ,Offensive
جبران باسيل رجل عنيد يطالب بإسترداد حقوق المسيحيين التي أخذت منهم في الطائف لهذا هو مكروه من ترويكا الطائف والفساد,Non-Offensive
جنسهم جبران باسيل وقبص اللي فيه النصيب لك يلعن هيك سياسيين واطيين,Offensive
جبران باسيل من حق اسرائيل ان تعيش بسلام بين جيرانها وبالامس من حق اسرائيل ان تضمن امنها,Non-Offensive
كول هوا ما حدا غير امك مركبه راس حمار,Offensive
لك يا رافعة معنوياتي انتي,Non-Offensive
قديش صرت كاتب سمعت شي مرة البيك تطلع عليك او رد يا مفتن الطايفة يا ابن شعبان؟ الله لا يوفقك كما قالوا… ,Offensive
كول هوا خسرتو بأرضك وبين جمهورك بعد ما منعت القطريين من تشجيع جمهورهم انتو فاشلين في كل شئ وهم متفوقين عليكم في…,Offensive
اصمت أيها الذبابة المريضة العقاب لوهاب وهاب قاتل ابو دياب ,Offensive
مهما تآمر المفسدين وتاجرو بأسم سيعرف العالم بأنهم عملاء متصهينين ,Offensive
كول هوا انت ودانيال,Offensive
والنعم من تربيتك ,Non-Offensive
شو بدك بأسمي أحترمي حالك وأحترمي ديننا الشريف وتوقفي عن الكذب وقلب الحقائق والتغطيه على من ن… ,Offensive
يلّي بدّو يجيب سيرة الوزير جبران باسيل بالعاطل بدّو يسمع كلام أوسخ من أعمال حركة أمل,Offensive
نص البلد من رأيي يا سخيفة,Offensive
والله انت من يحتاج الي طبيب نفسي وعساك ما تطيب ,Offensive
كل كلاب ال سعود مكانهم قفص القرود ,Offensive
خصوصا ان سي ان ان طردت,Non-Offensive
وانت شو تعتبر حالك وانت موالي لهذا الحرباء جن بلاط ههههه ,Offensive
لايام جاية راسكن بلارض راح يكون يا عملاء إيران ,Offensive
جبران باسيل، بتحبو او بتكرهو، ما فيك تنكر انو قبضاي وببيض الوج كوزير خارجية سيادي وطني لكن تبقى مشكلتي معه ان حزبه يؤب…,Non-Offensive
ههههههههههه يا هبيلة مين جاب سيرة تميم وقطر غيركانت بتقول إنو أمير الإرهاب طميم ,Offensive
تشتهي تشوف صرماية مقطّعة من شحاحيط السلطان يرد على كلامك؛الشحاحيط حافظين الكلمتين الخرا تبع عرب الشمال و اللاجئين المشردين و بس تتكلم أي كلمة ما تعجبهم لازم يطقعوها من زلاعيمهم مثل الجواميس تفه على شرفك اذا عندك جنس الشرف,Offensive
وما تنسى انو الشيخ نعيم حسن هو الشيخ العقل المعترف به من الدولة ومن الحكومة ومن الزعيم وليد بيك جنبلاط ,Non-Offensive
معالي لبناني وطني مش سعودي ليسافر ,Non-Offensive
ومبعوصة من انه الديمقراطية مترجمة من الـ وبدها الملسمين يقولوا شورى طيب يا قلبي الشورى عند داعش والسعودية احنا بدنا ديمقراطية يا كندرة,Offensive
فالرئيس السوري يثمن ويقدر مواقف فخامته ووزير الخارجية جبران باسيل التي تنبع من رؤيتهما الاستراتيجية للصراع في الشرق الاو…,Non-Offensive
بدك تعمل برنامج ينجح؟ حكي عن جبران باسيل مياومو الإعلام,Non-Offensive
كيف بيقدر هالحكم يعلك ويصوفر؟ 🤔,Non-Offensive
البلد عم ينهار بوجود العهد القوي وليكو عالهبيلة العوني وين راسوا,Offensive
هيييششش هيييشششش ,Offensive
منذ الثامنة صباحاً و أنا أتابع خبراً عن تطورات قضية خاشقجي على قناة الجزيرة،و لسة الخبر ما خلص حتى هازهي اللحظة,Non-Offensive
واضح ان السيد نصرالله الليلة بكلامه يرمم العلاقة مع التيار الوطني الحر,Non-Offensive
وهذا ردا على شِعرك وشَعرك يا اصلع وزارع الشعر المستعار  ,Offensive
الله يلعنك ويلعن الي ما بيلعنك ,Offensive
فيلم فاشل يا تعول الأفلام والكاميرات المعطلة,Offensive
وئام وهاب الطائفي سبق ووصف المرأة السعودية بشوال الفحم للأسف الإمارات لم نعد… ,Offensive
قال تعالىمن عمل صالحاً فلنفسه ومَن أساء فعليهاولاتستوي الحسنة والسيئة ادفع بالتي هي أحسن وقل سيروا… ,Non-Offensive
لابارك الله بك وبامثالك ياهذا ,Offensive
قهرني الله يقهره   ,Offensive
كول هوا ماخدا ارهابي غيركن,Offensive
يا ريت نفوسنا بجمال ونظافة وطنا شو كان عبالنا المشكلة مش بالوطن أستاذ وئام مشكلتنا بالشعب ثم بالدولة… ,Non-Offensive
كل ما عنا صلاح بهل طيفه من مشايخنا و ليد بيك لا خوف من ابواق لاسد و تصحيح وزير سابق في حقبة النظام ال… ,Non-Offensive
عم تحكي بقلوبنا دايما ✋ ,Non-Offensive
شي مفتخر للأمانة,Non-Offensive
لا ما حدا عم يزايد عليكن بالمقاومة انتو مقدمين الاف الشهداء و اسرائيل بتحسبلكن الف حساب بس جبران باسيل أخطأ بحقكن و حق…,Non-Offensive
عندما يقال يا شحاذ يظهر لك باسيل جبران,Offensive
وزير الخارجية اللبناني جبران باسيل امير قطر كسر الحصار على قطر في بادرة لكسر الحصار على القمة العربية التنموية القمة ال…,Non-Offensive
الله يلعن لي بشرت فيك وقت خلقت,Offensive
قدح وجم اذا ربحت رح اعطي نص المبلغ ل جبران باسيل,Non-Offensive
احساسي انو كان بدك تقول ضابط سوري مش سوي بس يمكن لأنو بعدك بلا غدا و جوعان فأكلت ل اعترف اعترف   ,Non-Offensive
دعهم يتلهون بفتات الاخرينلنا زعيم قائد وشيخ عقل ولا نعترف بمن لا يجرأ ع… ,Non-Offensive
